"country","resort","year","month","date","lower","upper"
"Andorra","La-Massana",2013,11,"2013-11-1",15,44
"Andorra","La-Massana",2015,11,"2015-11-1",6,14
"Andorra","La-Massana",2016,11,"2016-11-1",3,8
"Andorra","La-Massana",2013,12,"2013-12-1",89,166
"Andorra","La-Massana",2014,12,"2014-12-1",80,120
"Andorra","La-Massana",2015,12,"2015-12-1",21,48
"Andorra","La-Massana",2016,12,"2016-12-1",22,35
"Andorra","La-Massana",2014,1,"2014-1-1",98,173
"Andorra","La-Massana",2015,1,"2015-1-1",64,103
"Andorra","La-Massana",2016,1,"2016-1-1",30,66
"Andorra","La-Massana",2017,1,"2017-1-1",25,35
"Andorra","La-Massana",2014,2,"2014-2-1",127,219
"Andorra","La-Massana",2015,2,"2015-2-1",134,178
"Andorra","La-Massana",2016,2,"2016-2-1",46,79
"Andorra","La-Massana",2014,3,"2014-3-1",160,250
"Andorra","La-Massana",2015,3,"2015-3-1",146,211
"Andorra","La-Massana",2016,3,"2016-3-1",78,114
"Andorra","La-Massana",2014,4,"2014-4-1",53,118
"Andorra","La-Massana",2015,4,"2015-4-1",34,49
"Andorra","La-Massana",2016,4,"2016-4-1",22,34
"Andorra","Pas-de-la-Casa",2013,11,"2013-11-1",15,44
"Andorra","Pas-de-la-Casa",2015,11,"2015-11-1",6,14
"Andorra","Pas-de-la-Casa",2016,11,"2016-11-1",3,8
"Andorra","Pas-de-la-Casa",2013,12,"2013-12-1",89,166
"Andorra","Pas-de-la-Casa",2014,12,"2014-12-1",80,120
"Andorra","Pas-de-la-Casa",2015,12,"2015-12-1",21,48
"Andorra","Pas-de-la-Casa",2016,12,"2016-12-1",22,35
"Andorra","Pas-de-la-Casa",2014,1,"2014-1-1",98,173
"Andorra","Pas-de-la-Casa",2015,1,"2015-1-1",64,103
"Andorra","Pas-de-la-Casa",2016,1,"2016-1-1",30,66
"Andorra","Pas-de-la-Casa",2017,1,"2017-1-1",25,35
"Andorra","Pas-de-la-Casa",2014,2,"2014-2-1",127,219
"Andorra","Pas-de-la-Casa",2015,2,"2015-2-1",134,178
"Andorra","Pas-de-la-Casa",2016,2,"2016-2-1",46,79
"Andorra","Pas-de-la-Casa",2014,3,"2014-3-1",160,250
"Andorra","Pas-de-la-Casa",2015,3,"2015-3-1",146,211
"Andorra","Pas-de-la-Casa",2016,3,"2016-3-1",78,114
"Andorra","Pas-de-la-Casa",2014,4,"2014-4-1",53,118
"Andorra","Pas-de-la-Casa",2015,4,"2015-4-1",34,49
"Andorra","Pas-de-la-Casa",2016,4,"2016-4-1",22,34
"Andorra","Arinsal",2013,11,"2013-11-1",12,25
"Andorra","Arinsal",2015,11,"2015-11-1",2,9
"Andorra","Arinsal",2016,11,"2016-11-1",0,0
"Andorra","Arinsal",2013,12,"2013-12-1",57,90
"Andorra","Arinsal",2014,12,"2014-12-1",40,65
"Andorra","Arinsal",2015,12,"2015-12-1",18,38
"Andorra","Arinsal",2016,12,"2016-12-1",10,42
"Andorra","Arinsal",2014,1,"2014-1-1",94,129
"Andorra","Arinsal",2015,1,"2015-1-1",43,71
"Andorra","Arinsal",2016,1,"2016-1-1",21,50
"Andorra","Arinsal",2017,1,"2017-1-1",15,40
"Andorra","Arinsal",2014,2,"2014-2-1",102,148
"Andorra","Arinsal",2015,2,"2015-2-1",109,139
"Andorra","Arinsal",2016,2,"2016-2-1",54,85
"Andorra","Arinsal",2014,3,"2014-3-1",131,189
"Andorra","Arinsal",2015,3,"2015-3-1",150,183
"Andorra","Arinsal",2016,3,"2016-3-1",67,102
"Andorra","Arinsal",2014,4,"2014-4-1",57,97
"Andorra","Arinsal",2015,4,"2015-4-1",37,47
"Andorra","Arinsal",2016,4,"2016-4-1",19,29
"Andorra","Encamp",2013,11,"2013-11-1",15,44
"Andorra","Encamp",2015,11,"2015-11-1",6,14
"Andorra","Encamp",2016,11,"2016-11-1",3,8
"Andorra","Encamp",2013,12,"2013-12-1",89,166
"Andorra","Encamp",2014,12,"2014-12-1",80,120
"Andorra","Encamp",2015,12,"2015-12-1",21,48
"Andorra","Encamp",2016,12,"2016-12-1",22,35
"Andorra","Encamp",2014,1,"2014-1-1",98,173
"Andorra","Encamp",2015,1,"2015-1-1",64,103
"Andorra","Encamp",2016,1,"2016-1-1",30,66
"Andorra","Encamp",2017,1,"2017-1-1",25,35
"Andorra","Encamp",2014,2,"2014-2-1",127,219
"Andorra","Encamp",2015,2,"2015-2-1",134,178
"Andorra","Encamp",2016,2,"2016-2-1",46,79
"Andorra","Encamp",2014,3,"2014-3-1",160,250
"Andorra","Encamp",2015,3,"2015-3-1",146,211
"Andorra","Encamp",2016,3,"2016-3-1",78,114
"Andorra","Encamp",2014,4,"2014-4-1",53,118
"Andorra","Encamp",2015,4,"2015-4-1",34,49
"Andorra","Encamp",2016,4,"2016-4-1",22,34
"Andorra","Pal",2013,11,"2013-11-1",12,25
"Andorra","Pal",2015,11,"2015-11-1",2,9
"Andorra","Pal",2016,11,"2016-11-1",0,0
"Andorra","Pal",2013,12,"2013-12-1",57,90
"Andorra","Pal",2014,12,"2014-12-1",40,65
"Andorra","Pal",2015,12,"2015-12-1",18,38
"Andorra","Pal",2016,12,"2016-12-1",10,42
"Andorra","Pal",2014,1,"2014-1-1",94,129
"Andorra","Pal",2015,1,"2015-1-1",43,71
"Andorra","Pal",2016,1,"2016-1-1",21,50
"Andorra","Pal",2017,1,"2017-1-1",15,40
"Andorra","Pal",2014,2,"2014-2-1",102,148
"Andorra","Pal",2015,2,"2015-2-1",109,139
"Andorra","Pal",2016,2,"2016-2-1",54,85
"Andorra","Pal",2014,3,"2014-3-1",131,189
"Andorra","Pal",2015,3,"2015-3-1",150,183
"Andorra","Pal",2016,3,"2016-3-1",67,102
"Andorra","Pal",2014,4,"2014-4-1",57,97
"Andorra","Pal",2015,4,"2015-4-1",37,47
"Andorra","Pal",2016,4,"2016-4-1",19,29
"Austria","Bad-Gastein",2013,11,"2013-11-1",0,0
"Austria","Bad-Gastein",2015,11,"2015-11-1",7,14
"Austria","Bad-Gastein",2016,11,"2016-11-1",0,0
"Austria","Bad-Gastein",2013,12,"2013-12-1",43,121
"Austria","Bad-Gastein",2014,12,"2014-12-1",50,130
"Austria","Bad-Gastein",2015,12,"2015-12-1",30,40
"Austria","Bad-Gastein",2016,12,"2016-12-1",14,54
"Austria","Bad-Gastein",2014,1,"2014-1-1",47,131
"Austria","Bad-Gastein",2015,1,"2015-1-1",96,189
"Austria","Bad-Gastein",2016,1,"2016-1-1",33,84
"Austria","Bad-Gastein",2017,1,"2017-1-1",20,70
"Austria","Bad-Gastein",2014,2,"2014-2-1",46,162
"Austria","Bad-Gastein",2015,2,"2015-2-1",135,251
"Austria","Bad-Gastein",2016,2,"2016-2-1",55,124
"Austria","Bad-Gastein",2014,3,"2014-3-1",26,230
"Austria","Bad-Gastein",2015,3,"2015-3-1",108,229
"Austria","Bad-Gastein",2016,3,"2016-3-1",39,138
"Austria","Bad-Gastein",2014,4,"2014-4-1",3,131
"Austria","Bad-Gastein",2015,4,"2015-4-1",33,71
"Austria","Bad-Gastein",2016,4,"2016-4-1",1,30
"Austria","Kaprun",2013,11,"2013-11-1",0,137
"Austria","Kaprun",2015,11,"2015-11-1",6,69
"Austria","Kaprun",2016,11,"2016-11-1",25,82
"Austria","Kaprun",2013,12,"2013-12-1",13,127
"Austria","Kaprun",2014,12,"2014-12-1",20,190
"Austria","Kaprun",2015,12,"2015-12-1",15,84
"Austria","Kaprun",2016,12,"2016-12-1",25,76
"Austria","Kaprun",2014,1,"2014-1-1",29,120
"Austria","Kaprun",2015,1,"2015-1-1",62,255
"Austria","Kaprun",2016,1,"2016-1-1",33,95
"Austria","Kaprun",2017,1,"2017-1-1",36,106
"Austria","Kaprun",2014,2,"2014-2-1",76,148
"Austria","Kaprun",2015,2,"2015-2-1",81,276
"Austria","Kaprun",2016,2,"2016-2-1",86,138
"Austria","Kaprun",2014,3,"2014-3-1",107,175
"Austria","Kaprun",2015,3,"2015-3-1",100,310
"Austria","Kaprun",2016,3,"2016-3-1",138,201
"Austria","Kaprun",2014,4,"2014-4-1",100,225
"Austria","Kaprun",2015,4,"2015-4-1",92,369
"Austria","Kaprun",2016,4,"2016-4-1",144,221
"Austria","Zell-am-Ziller",2013,11,"2013-11-1",0,0
"Austria","Zell-am-Ziller",2015,11,"2015-11-1",0,0
"Austria","Zell-am-Ziller",2016,11,"2016-11-1",0,0
"Austria","Zell-am-Ziller",2013,12,"2013-12-1",3,26
"Austria","Zell-am-Ziller",2014,12,"2014-12-1",13,66
"Austria","Zell-am-Ziller",2015,12,"2015-12-1",0,19
"Austria","Zell-am-Ziller",2016,12,"2016-12-1",0,28
"Austria","Zell-am-Ziller",2014,1,"2014-1-1",7,43
"Austria","Zell-am-Ziller",2015,1,"2015-1-1",9,59
"Austria","Zell-am-Ziller",2016,1,"2016-1-1",5,38
"Austria","Zell-am-Ziller",2017,1,"2017-1-1",12,47
"Austria","Zell-am-Ziller",2014,2,"2014-2-1",17,88
"Austria","Zell-am-Ziller",2015,2,"2015-2-1",7,66
"Austria","Zell-am-Ziller",2016,2,"2016-2-1",3,45
"Austria","Zell-am-Ziller",2014,3,"2014-3-1",2,55
"Austria","Zell-am-Ziller",2015,3,"2015-3-1",0,60
"Austria","Zell-am-Ziller",2016,3,"2016-3-1",6,75
"Austria","Zell-am-Ziller",2014,4,"2014-4-1",0,25
"Austria","Zell-am-Ziller",2015,4,"2015-4-1",0,25
"Austria","Zell-am-Ziller",2016,4,"2016-4-1",0,12
"Austria","Zurs-am-Arlberg",2013,11,"2013-11-1",0,0
"Austria","Zurs-am-Arlberg",2015,11,"2015-11-1",2,3
"Austria","Zurs-am-Arlberg",2016,11,"2016-11-1",0,0
"Austria","Zurs-am-Arlberg",2013,12,"2013-12-1",41,53
"Austria","Zurs-am-Arlberg",2014,12,"2014-12-1",66,96
"Austria","Zurs-am-Arlberg",2015,12,"2015-12-1",30,35
"Austria","Zurs-am-Arlberg",2016,12,"2016-12-1",4,26
"Austria","Zurs-am-Arlberg",2014,1,"2014-1-1",72,74
"Austria","Zurs-am-Arlberg",2015,1,"2015-1-1",58,108
"Austria","Zurs-am-Arlberg",2016,1,"2016-1-1",88,107
"Austria","Zurs-am-Arlberg",2017,1,"2017-1-1",35,57
"Austria","Zurs-am-Arlberg",2014,2,"2014-2-1",101,117
"Austria","Zurs-am-Arlberg",2015,2,"2015-2-1",97,170
"Austria","Zurs-am-Arlberg",2016,2,"2016-2-1",129,182
"Austria","Zurs-am-Arlberg",2014,3,"2014-3-1",93,108
"Austria","Zurs-am-Arlberg",2015,3,"2015-3-1",82,202
"Austria","Zurs-am-Arlberg",2016,3,"2016-3-1",115,201
"Austria","Zurs-am-Arlberg",2014,4,"2014-4-1",24,48
"Austria","Zurs-am-Arlberg",2015,4,"2015-4-1",47,169
"Austria","Zurs-am-Arlberg",2016,4,"2016-4-1",33,111
"Austria","Alpbach",2013,11,"2013-11-1",0,0
