"country","resort","name","year","month","week","date","lower","upper"
"Andorra","Arcalis-Vallnord","Arcalis - Vallnord",2015,11,4,"2015-11-22",10,30
"Andorra","Arcalis-Vallnord","Arcalis - Vallnord",2015,12,1,"2015-12-1",20,66
"Andorra","Arcalis-Vallnord","Arcalis - Vallnord",2015,12,2,"2015-12-8",20,70
"Andorra","Arcalis-Vallnord","Arcalis - Vallnord",2015,12,3,"2015-12-15",22,69
"Andorra","Arcalis-Vallnord","Arcalis - Vallnord",2015,12,4,"2015-12-22",20,64
"Andorra","Arcalis-Vallnord","Arcalis - Vallnord",2016,1,1,"2016-1-1",22,62
"Andorra","Arcalis-Vallnord","Arcalis - Vallnord",2016,1,2,"2016-1-8",30,80
"Andorra","Arcalis-Vallnord","Arcalis - Vallnord",2016,1,3,"2016-1-15",30,80
"Andorra","Arcalis-Vallnord","Arcalis - Vallnord",2016,1,4,"2016-1-22",37,85
"Andorra","Arcalis-Vallnord","Arcalis - Vallnord",2016,2,1,"2016-2-1",55,95
"Andorra","Arcalis-Vallnord","Arcalis - Vallnord",2016,2,2,"2016-2-8",55,99
"Andorra","Arcalis-Vallnord","Arcalis - Vallnord",2016,2,3,"2016-2-15",90,135
"Andorra","Arcalis-Vallnord","Arcalis - Vallnord",2016,2,4,"2016-2-22",82,129
"Andorra","Arcalis-Vallnord","Arcalis - Vallnord",2016,3,1,"2016-3-1",78,136
"Andorra","Arcalis-Vallnord","Arcalis - Vallnord",2016,3,2,"2016-3-8",106,156
"Andorra","Arcalis-Vallnord","Arcalis - Vallnord",2016,3,3,"2016-3-15",112,162
"Andorra","Arcalis-Vallnord","Arcalis - Vallnord",2016,3,4,"2016-3-22",96,147
"Andorra","Arcalis-Vallnord","Arcalis - Vallnord",2016,4,1,"2016-4-1",87,143
"Andorra","Arcalis-Vallnord","Arcalis - Vallnord",2016,4,2,"2016-4-8",14,24
"Andorra","Arcalis-Vallnord","Arcalis - Vallnord",2016,4,3,"2016-4-15",null,null
"Andorra","El-Tarter-Grandvalira","El Tarter - Grandvalira",2015,11,4,"2015-11-22",10,26
"Andorra","El-Tarter-Grandvalira","El Tarter - Grandvalira",2015,12,1,"2015-12-1",15,42
"Andorra","El-Tarter-Grandvalira","El Tarter - Grandvalira",2015,12,2,"2015-12-8",17,50
"Andorra","El-Tarter-Grandvalira","El Tarter - Grandvalira",2015,12,3,"2015-12-15",19,50
"Andorra","El-Tarter-Grandvalira","El Tarter - Grandvalira",2015,12,4,"2015-12-22",20,50
"Andorra","El-Tarter-Grandvalira","El Tarter - Grandvalira",2016,1,1,"2016-1-1",21,53
"Andorra","El-Tarter-Grandvalira","El Tarter - Grandvalira",2016,1,2,"2016-1-8",29,68
"Andorra","El-Tarter-Grandvalira","El Tarter - Grandvalira",2016,1,3,"2016-1-15",30,70
"Andorra","El-Tarter-Grandvalira","El Tarter - Grandvalira",2016,1,4,"2016-1-22",38,70
"Andorra","El-Tarter-Grandvalira","El Tarter - Grandvalira",2016,2,1,"2016-2-1",35,60
"Andorra","El-Tarter-Grandvalira","El Tarter - Grandvalira",2016,2,2,"2016-2-8",35,62
"Andorra","El-Tarter-Grandvalira","El Tarter - Grandvalira",2016,2,3,"2016-2-15",44,91
"Andorra","El-Tarter-Grandvalira","El Tarter - Grandvalira",2016,2,4,"2016-2-22",50,100
"Andorra","El-Tarter-Grandvalira","El Tarter - Grandvalira",2016,3,1,"2016-3-1",50,100
"Andorra","El-Tarter-Grandvalira","El Tarter - Grandvalira",2016,3,2,"2016-3-8",63,113
"Andorra","El-Tarter-Grandvalira","El Tarter - Grandvalira",2016,3,3,"2016-3-15",78,128
"Andorra","El-Tarter-Grandvalira","El Tarter - Grandvalira",2016,3,4,"2016-3-22",60,122
"Andorra","El-Tarter-Grandvalira","El Tarter - Grandvalira",2016,4,1,"2016-4-1",40,110
"Andorra","El-Tarter-Grandvalira","El Tarter - Grandvalira",2016,4,2,"2016-4-8",6,18
"Andorra","El-Tarter-Grandvalira","El Tarter - Grandvalira",2016,4,3,"2016-4-15",null,null
"Andorra","Pal-Arinsal-Vallnord","Pal/Arinsal - Vallnord",2015,11,4,"2015-11-22",5,19
"Andorra","Pal-Arinsal-Vallnord","Pal/Arinsal - Vallnord",2015,12,1,"2015-12-1",12,32
"Andorra","Pal-Arinsal-Vallnord","Pal/Arinsal - Vallnord",2015,12,2,"2015-12-8",20,40
"Andorra","Pal-Arinsal-Vallnord","Pal/Arinsal - Vallnord",2015,12,3,"2015-12-15",20,40
"Andorra","Pal-Arinsal-Vallnord","Pal/Arinsal - Vallnord",2015,12,4,"2015-12-22",20,40
"Andorra","Pal-Arinsal-Vallnord","Pal/Arinsal - Vallnord",2016,1,1,"2016-1-1",20,42
"Andorra","Pal-Arinsal-Vallnord","Pal/Arinsal - Vallnord",2016,1,2,"2016-1-8",20,50
"Andorra","Pal-Arinsal-Vallnord","Pal/Arinsal - Vallnord",2016,1,3,"2016-1-15",20,50
"Andorra","Pal-Arinsal-Vallnord","Pal/Arinsal - Vallnord",2016,1,4,"2016-1-22",26,56
"Andorra","Pal-Arinsal-Vallnord","Pal/Arinsal - Vallnord",2016,2,1,"2016-2-1",50,80
"Andorra","Pal-Arinsal-Vallnord","Pal/Arinsal - Vallnord",2016,2,2,"2016-2-8",55,85
"Andorra","Pal-Arinsal-Vallnord","Pal/Arinsal - Vallnord",2016,2,3,"2016-2-15",60,90
"Andorra","Pal-Arinsal-Vallnord","Pal/Arinsal - Vallnord",2016,2,4,"2016-2-22",54,88
"Andorra","Pal-Arinsal-Vallnord","Pal/Arinsal - Vallnord",2016,3,1,"2016-3-1",50,88
"Andorra","Pal-Arinsal-Vallnord","Pal/Arinsal - Vallnord",2016,3,2,"2016-3-8",76,106
"Andorra","Pal-Arinsal-Vallnord","Pal/Arinsal - Vallnord",2016,3,3,"2016-3-15",82,112
"Andorra","Pal-Arinsal-Vallnord","Pal/Arinsal - Vallnord",2016,3,4,"2016-3-22",60,102
"Andorra","Pal-Arinsal-Vallnord","Pal/Arinsal - Vallnord",2016,4,1,"2016-4-1",64,102
"Andorra","Pal-Arinsal-Vallnord","Pal/Arinsal - Vallnord",2016,4,2,"2016-4-8",13,18
"Andorra","Pal-Arinsal-Vallnord","Pal/Arinsal - Vallnord",2016,4,3,"2016-4-15",null,null
"Andorra","Pas-de-la-Casa-Grandvalira","Pas de la Casa - Grandvalira",2015,11,4,"2015-11-22",12,29
"Andorra","Pas-de-la-Casa-Grandvalira","Pas de la Casa - Grandvalira",2015,12,1,"2015-12-1",20,42
"Andorra","Pas-de-la-Casa-Grandvalira","Pas de la Casa - Grandvalira",2015,12,2,"2015-12-8",25,50
"Andorra","Pas-de-la-Casa-Grandvalira","Pas de la Casa - Grandvalira",2015,12,3,"2015-12-15",20,50
"Andorra","Pas-de-la-Casa-Grandvalira","Pas de la Casa - Grandvalira",2015,12,4,"2015-12-22",20,50
"Andorra","Pas-de-la-Casa-Grandvalira","Pas de la Casa - Grandvalira",2016,1,1,"2016-1-1",23,53
"Andorra","Pas-de-la-Casa-Grandvalira","Pas de la Casa - Grandvalira",2016,1,2,"2016-1-8",29,68
"Andorra","Pas-de-la-Casa-Grandvalira","Pas de la Casa - Grandvalira",2016,1,3,"2016-1-15",30,70
"Andorra","Pas-de-la-Casa-Grandvalira","Pas de la Casa - Grandvalira",2016,1,4,"2016-1-22",39,69
"Andorra","Pas-de-la-Casa-Grandvalira","Pas de la Casa - Grandvalira",2016,2,1,"2016-2-1",35,60
"Andorra","Pas-de-la-Casa-Grandvalira","Pas de la Casa - Grandvalira",2016,2,2,"2016-2-8",35,62
"Andorra","Pas-de-la-Casa-Grandvalira","Pas de la Casa - Grandvalira",2016,2,3,"2016-2-15",54,93
"Andorra","Pas-de-la-Casa-Grandvalira","Pas de la Casa - Grandvalira",2016,2,4,"2016-2-22",62,104
"Andorra","Pas-de-la-Casa-Grandvalira","Pas de la Casa - Grandvalira",2016,3,1,"2016-3-1",72,110
"Andorra","Pas-de-la-Casa-Grandvalira","Pas de la Casa - Grandvalira",2016,3,2,"2016-3-8",80,110
"Andorra","Pas-de-la-Casa-Grandvalira","Pas de la Casa - Grandvalira",2016,3,3,"2016-3-15",80,118
"Andorra","Pas-de-la-Casa-Grandvalira","Pas de la Casa - Grandvalira",2016,3,4,"2016-3-22",80,120
"Andorra","Pas-de-la-Casa-Grandvalira","Pas de la Casa - Grandvalira",2016,4,1,"2016-4-1",80,120
"Andorra","Pas-de-la-Casa-Grandvalira","Pas de la Casa - Grandvalira",2016,4,2,"2016-4-8",13,20
"Andorra","Pas-de-la-Casa-Grandvalira","Pas de la Casa - Grandvalira",2016,4,3,"2016-4-15",null,null
"Andorra","Soldeu-Grandvalira","Soldeu - Grandvalira",2015,11,4,"2015-11-22",10,26
"Andorra","Soldeu-Grandvalira","Soldeu - Grandvalira",2015,12,1,"2015-12-1",15,42
"Andorra","Soldeu-Grandvalira","Soldeu - Grandvalira",2015,12,2,"2015-12-8",16,50
"Andorra","Soldeu-Grandvalira","Soldeu - Grandvalira",2015,12,3,"2015-12-15",20,50
"Andorra","Soldeu-Grandvalira","Soldeu - Grandvalira",2015,12,4,"2015-12-22",20,50
"Andorra","Soldeu-Grandvalira","Soldeu - Grandvalira",2016,1,1,"2016-1-1",20,52
"Andorra","Soldeu-Grandvalira","Soldeu - Grandvalira",2016,1,2,"2016-1-8",28,66
"Andorra","Soldeu-Grandvalira","Soldeu - Grandvalira",2016,1,3,"2016-1-15",30,70
