"resort","name","size","totalFeatures","url","parks","easy","public","pro"
"Ischgl","Jeep Snowpark Ischgl","XXL",79,"/snow-parks/snowartpark-ischgl/",2,"34","30","15"
"Shuttleberg Flachauwinkl-Kleinarl - Ski amade","Absolut Park Flachauwinkl","XXL",74,"/snow-parks/absolut-park-flachauwinkl/",3,"21","36","17"
"Kitzsteinhorn - Kaprun","Snowpark Kitzsteinhorn","XXL",74,"/snow-parks/kitzsteinhorn/",5,"24","31","19"
"Mayrhofen - Zillertal","Penken Park","XXL",61,"/snow-parks/vans-penken-park/",1,"14","17","30"
"Zell am Ziller - Zillertal Arena","Action-Park Kreuzwiese/ Zell","XXL",51,"/snow-parks/action-park-kreuzwiese/",1,"","",""
"Hochkönig / Maria Alm - Dienten - Mühlbach - Ski amade","Blue Tomato Kings Park am Hochkönig","XXL",51,"/snow-parks/kings-park/",1,"18","26","7"
"Waidring - Steinplatte","Snowpark Steinplatte","XXL",50,"/snow-parks/waidring-steinplatte/",1,"18","17","15"
"Turracher Höhe","Snowpark Turracher Höhe","XL",46,"/snow-parks/snowpark-turrach/",1,"16","20","10"
"Serfaus - Fiss - Ladis","Freestyle Circus Serfaus","XL",46,"/snow-parks/freestyle-circus-serfaus/",2,"5","28","13"
"Kitzbühel - Kirchberg","Snowpark Kitzbühel","XL",44,"/snow-parks/kitzbuehel/",1,"","",""
"Gerlos - Zillertal Arena","Snowpark Zillertal Arena / Gerlos","XL",44,"/snow-parks/hotzone-park-zillertalarena-gerlos/",4,"","",""
"Hintertuxer Gletscher / Hintertux","BETTERPARK HINTERTUX","XL",44,"/snow-parks/betterpark-hintertux/",1,"","",""
"Damüls","Snowpark Damüls","XL",44,"/snow-parks/burton-snowpark-damuels/",3,"15","14","15"
"Sölden","Area 47 Snowpark Sölden","XL",43,"/snow-parks/soelden/",1,"12","15","6"
"Stuhleck - Semmering","Blue Tomato Snowpark Stuhleck","XL",42,"/snow-parks/stuhleck/",3,"11","25","6"
"Planai / Schladming - Ski amade","Superpark Planai","XL",42,"/snow-parks/superpark-planai/",1,"8","18","16"
"Obertauern","Snowpark Obertauern - The Spot","XL",40,"/snow-parks/snowpark-obertauern/",1,"10","25","5"
"Brandnertal","Backyards Snowpark","XL",40,"/snow-parks/backyards-snowpark/",3,"15","18","6"
"Dachstein Gletscher Schladming Ramsau - Ski amade","Superpark Dachstein","XL",38,"/snow-parks/superpark-dachstein/",1,"10","4","24"
"Serfaus - Fiss - Ladis","Fun Area Fiss-Ladis","XL",37,"/snow-parks/fiss-ladis/",2,"10","18","9"
"Kaunertaler Gletscher / Kaunertal","Snowpark Kaunertal","XL",37,"/snow-parks/snowpark-kaunertaler-gletscher/",1,"16","15","6"
"Diedamskopf","Pleasure Diedamspark","XL",36,"/snow-parks/diedamspark/",1,"14","16","6"
"Saalbach Hinterglemm Leogang Fieberbrunn","NIGHTPARK Saalbach Hinterglemm","XL",36,"/snow-parks/saalbach-hinterglemm-leogang/",2,"11","10","15"
"Stubaier Gletscher / Stubaital","Stubai Zoo","XL",36,"/snow-parks/moreboards-stubai-zoo/",1,"13","15","8"
"Flachau - Snow Space Salzburg - Ski amade","BETTERPARK Alpendorf","XL",35,"/snow-parks/alpendorf/",1,"","",""
"Bad Gastein - Ski amade","Snowpark Gastein","L",33,"/snow-parks/park-gastein/",1,"9","15","9"
