"name","date","snowfall-inch"
"Stubaier Gletscher","2017-1-3","4"
"Stubaier Gletscher","2017-1-4","4"
"Stubaier Gletscher","2017-1-5","8"
"Stubaier Gletscher","2017-1-6","2"
"Stubaier Gletscher","2017-1-8","12"
"Stubaier Gletscher","2017-1-9","2"
"Stubaier Gletscher","2017-1-13","4"
"Stubaier Gletscher","2017-1-14","4"
"Stubaier Gletscher","2017-1-15","4"
"Stubaier Gletscher","2017-1-16","2"
"Stubaier Gletscher","2017-2-1","6"
"Stubaier Gletscher","2017-2-3","4"
"Stubaier Gletscher","2017-2-5","2"
"Stubaier Gletscher","2017-2-6","6"
"Stubaier Gletscher","2017-2-24","6"
"Stubaier Gletscher","2017-2-28","12"
"Stubaier Gletscher","2017-3-1","12"
"Stubaier Gletscher","2017-3-5","8"
"Stubaier Gletscher","2017-3-6","4"
"Stubaier Gletscher","2017-3-7","4"
"Stubaier Gletscher","2017-3-9","18"
"Stubaier Gletscher","2017-3-21","2"
"Stubaier Gletscher","2017-4-4","2"
"Stubaier Gletscher","2017-4-5","2"
"Stubaier Gletscher","2017-4-17","6"
"Stubaier Gletscher","2017-4-18","14"
"Stubaier Gletscher","2017-4-27","6"
"Stubaier Gletscher","2017-4-28","12"
"Stubaier Gletscher","2017-4-29","22"
"Stubaier Gletscher","2017-5-1","6"
"Stubaier Gletscher","2017-5-2","4"
"Stubaier Gletscher","2017-5-15","6"
"Stubaier Gletscher","2017-7-14","4"
"Stubaier Gletscher","2017-9-1","1"
"Stubaier Gletscher","2017-9-2","2"
"Stubaier Gletscher","2017-9-3","16"
"Stubaier Gletscher","2017-9-10","6"
"Stubaier Gletscher","2017-9-12","2"
"Stubaier Gletscher","2017-9-16","2"
"Stubaier Gletscher","2017-9-19","4"
"Stubaier Gletscher","2017-10-1","4"
"Stubaier Gletscher","2017-10-6","4"
"Stubaier Gletscher","2017-10-7","4"
"Stubaier Gletscher","2017-10-22","2"
"Stubaier Gletscher","2017-10-23","8"
"Stubaier Gletscher","2017-11-5","16"
"Stubaier Gletscher","2017-11-6","24"
"Stubaier Gletscher","2016-1-2","6"
"Stubaier Gletscher","2016-1-3","2"
"Stubaier Gletscher","2016-1-4","2"
"Stubaier Gletscher","2016-1-5","4"
"Stubaier Gletscher","2016-1-7","4"
"Stubaier Gletscher","2016-1-9","4"
"Stubaier Gletscher","2016-1-11","10"
"Stubaier Gletscher","2016-1-15","2"
"Stubaier Gletscher","2016-1-16","6"
"Stubaier Gletscher","2016-1-17","10"
"Stubaier Gletscher","2016-1-31","12"
"Stubaier Gletscher","2016-2-3","8"
"Stubaier Gletscher","2016-2-9","8"
"Stubaier Gletscher","2016-2-14","4"
"Stubaier Gletscher","2016-2-16","8"
"Stubaier Gletscher","2016-2-20","8"
"Stubaier Gletscher","2016-2-23","2"
"Stubaier Gletscher","2016-3-1","2"
"Stubaier Gletscher","2016-3-2","8"
"Stubaier Gletscher","2016-3-3","2"
"Stubaier Gletscher","2016-3-7","2"
"Stubaier Gletscher","2016-3-24","8"
"Stubaier Gletscher","2016-4-8","6"
"Stubaier Gletscher","2016-4-14","4"
"Stubaier Gletscher","2016-4-18","16"
"Stubaier Gletscher","2016-4-19","8"
"Stubaier Gletscher","2016-4-23","10"
"Stubaier Gletscher","2016-4-25","8"
"Stubaier Gletscher","2016-4-27","2"
"Stubaier Gletscher","2016-5-1","10"
"Stubaier Gletscher","2016-5-4","6"
"Stubaier Gletscher","2016-5-12","4"
"Stubaier Gletscher","2016-5-17","4"
"Stubaier Gletscher","2016-8-6","10"
"Stubaier Gletscher","2016-8-10","4"
"Stubaier Gletscher","2016-10-2","2"
"Stubaier Gletscher","2016-10-3","2"
"Stubaier Gletscher","2016-10-8","2"
"Stubaier Gletscher","2016-10-10","6"
"Stubaier Gletscher","2016-10-11","6"
"Stubaier Gletscher","2016-10-18","2"
"Stubaier Gletscher","2016-10-19","2"
"Stubaier Gletscher","2016-11-5","2"
"Stubaier Gletscher","2016-11-6","12"
"Stubaier Gletscher","2016-11-12","8"
"Stubaier Gletscher","2016-12-12","2"
"Stubaier Gletscher","2015-1-5","10"
"Stubaier Gletscher","2015-1-14","2"
"Stubaier Gletscher","2015-1-17","12"
"Stubaier Gletscher","2015-1-25","4"
"Stubaier Gletscher","2015-1-27","6"
"Stubaier Gletscher","2015-1-29","2"
"Stubaier Gletscher","2015-2-1","2"
"Stubaier Gletscher","2015-2-24","4"
"Stubaier Gletscher","2015-2-25","8"
"Stubaier Gletscher","2015-2-28","4"
"Stubaier Gletscher","2015-3-2","4"
"Stubaier Gletscher","2015-3-5","12"
"Stubaier Gletscher","2015-3-22","6"
"Stubaier Gletscher","2015-4-4","6"
"Stubaier Gletscher","2015-4-5","12"
"Stubaier Gletscher","2015-4-6","20"
"Stubaier Gletscher","2015-4-17","2"
"Stubaier Gletscher","2015-4-18","2"
"Stubaier Gletscher","2015-4-30","8"
"Stubaier Gletscher","2015-5-21","18"
"Stubaier Gletscher","2015-9-23","16"
"Stubaier Gletscher","2015-10-3","1"
"Stubaier Gletscher","2015-10-4","4"
"Stubaier Gletscher","2015-10-6","4"
"Stubaier Gletscher","2015-10-10","1"
"Stubaier Gletscher","2015-10-13","8"
"Stubaier Gletscher","2015-10-14","8"
"Stubaier Gletscher","2015-10-15","8"
"Stubaier Gletscher","2015-10-18","2"
"Stubaier Gletscher","2015-10-28","4"
"Stubaier Gletscher","2015-11-22","4"
"Stubaier Gletscher","2015-11-25","6"
"Stubaier Gletscher","2015-11-26","8"
"Stubaier Gletscher","2015-12-9","4"
"Stubaier Gletscher","2015-12-16","6"
"Obergurgl-Hochgurgl","2017-1-6","4"
"Obergurgl-Hochgurgl","2017-1-8","8"
"Obergurgl-Hochgurgl","2017-1-13","3"
"Obergurgl-Hochgurgl","2017-1-14","2"
"Obergurgl-Hochgurgl","2017-1-17","4"
"Obergurgl-Hochgurgl","2017-1-31","2"
"Obergurgl-Hochgurgl","2017-2-1","2"
"Obergurgl-Hochgurgl","2017-2-6","4"
"Obergurgl-Hochgurgl","2017-2-18","4"
"Obergurgl-Hochgurgl","2017-2-24","1"
"Obergurgl-Hochgurgl","2017-3-1","8"
"Obergurgl-Hochgurgl","2017-3-7","2"
"Obergurgl-Hochgurgl","2017-3-8","7"
"Obergurgl-Hochgurgl","2017-3-9","10"
"Obergurgl-Hochgurgl","2017-3-10","8"
"Obergurgl-Hochgurgl","2017-4-5","4"
"Obergurgl-Hochgurgl","2017-4-6","1"
"Obergurgl-Hochgurgl","2017-4-16","2"
"Obergurgl-Hochgurgl","2017-4-17","2"
"Obergurgl-Hochgurgl","2017-4-19","6"
"Obergurgl-Hochgurgl","2017-4-20","4"
"Obergurgl-Hochgurgl","2017-4-27","10"
"Obergurgl-Hochgurgl","2017-4-28","9"
"Obergurgl-Hochgurgl","2017-4-29","14"
"Obergurgl-Hochgurgl","2017-11-6","18"
"Obergurgl-Hochgurgl","2016-1-2","1"
"Obergurgl-Hochgurgl","2016-1-3","5"
"Obergurgl-Hochgurgl","2016-1-4","1"
"Obergurgl-Hochgurgl","2016-1-6","4"
"Obergurgl-Hochgurgl","2016-1-7","6"
"Obergurgl-Hochgurgl","2016-1-10","8"
"Obergurgl-Hochgurgl","2016-1-12","2"
"Obergurgl-Hochgurgl","2016-1-15","4"
"Obergurgl-Hochgurgl","2016-1-16","2"
"Obergurgl-Hochgurgl","2016-1-17","2"
"Obergurgl-Hochgurgl","2016-1-20","2"
"Obergurgl-Hochgurgl","2016-1-31","2"
"Obergurgl-Hochgurgl","2016-2-4","6"
"Obergurgl-Hochgurgl","2016-2-5","6"
"Obergurgl-Hochgurgl","2016-2-8","5"
"Obergurgl-Hochgurgl","2016-2-16","1"
"Obergurgl-Hochgurgl","2016-2-17","4"
"Obergurgl-Hochgurgl","2016-2-21","9"
"Obergurgl-Hochgurgl","2016-2-26","1"
"Obergurgl-Hochgurgl","2016-3-1","10"
"Obergurgl-Hochgurgl","2016-3-6","10"
"Obergurgl-Hochgurgl","2016-3-7","1"
"Obergurgl-Hochgurgl","2016-3-13","2"
"Obergurgl-Hochgurgl","2016-3-16","1"
"Obergurgl-Hochgurgl","2016-3-25","1"
"Obergurgl-Hochgurgl","2016-3-28","1"
"Obergurgl-Hochgurgl","2016-4-7","2"
"Obergurgl-Hochgurgl","2016-4-8","2"
"Obergurgl-Hochgurgl","2016-4-9","2"
"Obergurgl-Hochgurgl","2016-4-17","6"
"Obergurgl-Hochgurgl","2016-4-18","11"
"Obergurgl-Hochgurgl","2016-4-19","2"
"Obergurgl-Hochgurgl","2016-4-24","4"
"Obergurgl-Hochgurgl","2016-11-11","2"
"Obergurgl-Hochgurgl","2016-12-19","4"
"Obergurgl-Hochgurgl","2015-1-4","6"
"Obergurgl-Hochgurgl","2015-1-12","2"
"Obergurgl-Hochgurgl","2015-1-17","1"
"Obergurgl-Hochgurgl","2015-1-23","2"
"Obergurgl-Hochgurgl","2015-1-25","6"
"Obergurgl-Hochgurgl","2015-1-26","1"
"Obergurgl-Hochgurgl","2015-1-30","4"
"Obergurgl-Hochgurgl","2015-2-2","2"
"Obergurgl-Hochgurgl","2015-2-5","3"
"Obergurgl-Hochgurgl","2015-2-15","4"
"Obergurgl-Hochgurgl","2015-2-22","6"
"Obergurgl-Hochgurgl","2015-2-24","6"
