country,resort,name,year,month,date,lower,upper
Andorra,La-Massana,La Massana,2013,11,2013-11-01,15,44
Andorra,La-Massana,La Massana,2015,11,2015-11-01,6,14
Andorra,La-Massana,La Massana,2016,11,2016-11-01,3,8
Andorra,La-Massana,La Massana,2013,12,2013-12-01,89,166
Andorra,La-Massana,La Massana,2014,12,2014-12-01,80,120
Andorra,La-Massana,La Massana,2015,12,2015-12-01,21,48
Andorra,La-Massana,La Massana,2016,12,2016-12-01,22,35
Andorra,La-Massana,La Massana,2014,1,2014-01-01,98,173
Andorra,La-Massana,La Massana,2015,1,2015-01-01,64,103
Andorra,La-Massana,La Massana,2016,1,2016-01-01,30,66
Andorra,La-Massana,La Massana,2017,1,2017-01-01,25,35
Andorra,La-Massana,La Massana,2014,2,2014-02-01,127,219
Andorra,La-Massana,La Massana,2015,2,2015-02-01,134,178
Andorra,La-Massana,La Massana,2016,2,2016-02-01,46,79
Andorra,La-Massana,La Massana,2014,3,2014-03-01,160,250
Andorra,La-Massana,La Massana,2015,3,2015-03-01,146,211
Andorra,La-Massana,La Massana,2016,3,2016-03-01,78,114
Andorra,La-Massana,La Massana,2014,4,2014-04-01,53,118
Andorra,La-Massana,La Massana,2015,4,2015-04-01,34,49
Andorra,La-Massana,La Massana,2016,4,2016-04-01,22,34
Andorra,Pas-de-la-Casa,Pas de la Casa,2013,11,2013-11-01,15,44
Andorra,Pas-de-la-Casa,Pas de la Casa,2015,11,2015-11-01,6,14
Andorra,Pas-de-la-Casa,Pas de la Casa,2016,11,2016-11-01,3,8
Andorra,Pas-de-la-Casa,Pas de la Casa,2013,12,2013-12-01,89,166
Andorra,Pas-de-la-Casa,Pas de la Casa,2014,12,2014-12-01,80,120
Andorra,Pas-de-la-Casa,Pas de la Casa,2015,12,2015-12-01,21,48
Andorra,Pas-de-la-Casa,Pas de la Casa,2016,12,2016-12-01,22,35
Andorra,Pas-de-la-Casa,Pas de la Casa,2014,1,2014-01-01,98,173
Andorra,Pas-de-la-Casa,Pas de la Casa,2015,1,2015-01-01,64,103
Andorra,Pas-de-la-Casa,Pas de la Casa,2016,1,2016-01-01,30,66
Andorra,Pas-de-la-Casa,Pas de la Casa,2017,1,2017-01-01,25,35
Andorra,Pas-de-la-Casa,Pas de la Casa,2014,2,2014-02-01,127,219
Andorra,Pas-de-la-Casa,Pas de la Casa,2015,2,2015-02-01,134,178
Andorra,Pas-de-la-Casa,Pas de la Casa,2016,2,2016-02-01,46,79
Andorra,Pas-de-la-Casa,Pas de la Casa,2014,3,2014-03-01,160,250
Andorra,Pas-de-la-Casa,Pas de la Casa,2015,3,2015-03-01,146,211
Andorra,Pas-de-la-Casa,Pas de la Casa,2016,3,2016-03-01,78,114
Andorra,Pas-de-la-Casa,Pas de la Casa,2014,4,2014-04-01,53,118
Andorra,Pas-de-la-Casa,Pas de la Casa,2015,4,2015-04-01,34,49
Andorra,Pas-de-la-Casa,Pas de la Casa,2016,4,2016-04-01,22,34
Andorra,Arinsal,Arinsal,2013,11,2013-11-01,12,25
Andorra,Arinsal,Arinsal,2015,11,2015-11-01,2,9
Andorra,Arinsal,Arinsal,2016,11,2016-11-01,0,0
Andorra,Arinsal,Arinsal,2013,12,2013-12-01,57,90
Andorra,Arinsal,Arinsal,2014,12,2014-12-01,40,65
Andorra,Arinsal,Arinsal,2015,12,2015-12-01,18,38
Andorra,Arinsal,Arinsal,2016,12,2016-12-01,10,42
Andorra,Arinsal,Arinsal,2014,1,2014-01-01,94,129
Andorra,Arinsal,Arinsal,2015,1,2015-01-01,43,71
Andorra,Arinsal,Arinsal,2016,1,2016-01-01,21,50
Andorra,Arinsal,Arinsal,2017,1,2017-01-01,15,40
Andorra,Arinsal,Arinsal,2014,2,2014-02-01,102,148
Andorra,Arinsal,Arinsal,2015,2,2015-02-01,109,139
Andorra,Arinsal,Arinsal,2016,2,2016-02-01,54,85
